kouhaku_name,spotify_id,spotify_name,followers,popularity,similarity,score,match_type
SEKAI NO OWARI,7HwzlRPa9Ad0I8rK0FPzzK,SEKAI NO OWARI,3068217,66,1.0,81.0009403081014,auto
IVE,6RHTUrRF63xao58xh9FXYJ,IVE,6352625,72,1.0,83.55551379733359,auto
Aimer,0bAsR2unSRpn6BQPEnNlZm,Aimer,2757292,66,1.0,80.80206897470423,auto
King Gnu,6wxfx1yhyqjCPYwwxJktR2,King Gnu,4114021,70,1.0,82.34685644665035,auto
TWICE,7n2Ycct7Beij7Dj7meI4X0,TWICE,23611408,84,1.0,86.8,auto
Vaundy,2IUl3m1H1EQ7QfNbNWvgru,Vaundy,3600031,73,1.0,82.6984553164681,auto
KinKi Kids,5ki9pRkPNIXLjuiqG1Jh84,KinKi Kids,167228,56,1.0,73.58560998180688,auto
Stray Kids,2dIgFjalVxs4ThymZ67YCE,Stray Kids,21376171,87,1.0,87.4,auto
すとぷり,2i0kSiF991uhqOBfdKfB24,すとぷり,333964,46,1.0,82.87299851759286,auto
ano,7Il739Q5W4yJUYC3hfnX6z,ano,227751,52,1.0,73.36054411085185,auto
MAN WITH A MISSION,3NTbOmzlj2cL86XFuDVFvZ,MAN WITH A MISSION,1209612,60,1.0,78.06848322834041,auto
SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,SEVENTEEN,13753366,78,1.0,85.6,auto
大泉洋,4ZEqaiBgNsLXZTGTBuoIxe,大泉 洋,8696,22,1.0,71.2827979903353,auto
Mrs. GREEN APPLE,4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,6399354,80,1.0,85.16915486502324,auto
MISAMO,0IwZVmMMGE7nNXS7vN9SIo,MISAMO,1068085,56,1.0,77.03688206836948,auto
10-FEET,0QZqdhoRQkn1VphAa5eX8h,10-FEET,421553,55,1.0,75.1065093613878,auto
伊藤蘭,4KRqPsYKtYo44aNpJf0Db2,伊藤 蘭,1762,9,1.0,65.71145387461155,auto
Ado,6mEQK9m2krja6X1cfsAjfl,Ado,6832592,76,1.0,84.49108066339353,auto
ME:I,0wsE3L0l083t6bxC8jJefC,ME:I,157309,54,1.0,73.07180101554354,auto
Omoinotake,63ylN6WBUUxxMsySiDmr0B,Omoinotake,298727,58,1.0,75.06546204619444,auto
Da-iCE,71UIOLnsacxQHlU55TvfiH,Da-iCE,829872,62,1.0,77.76719047861403,auto
ILLIT,36cgvBn0aadzOijnjjwqMN,ILLIT,3998908,77,1.0,83.69403462606154,auto
新浜レオン,6WHw9pdyHYT9c952yPaGM2,新浜レオン,3920,26,1.0,70.59979743008768,auto
HY,3x621ItlHMtX7mrJ8QnEjM,HY,1364104,57,1.0,77.69220349608742,auto
tuki.,1Y5vJqABeI6QI6R95EDV6o,tuki.,538274,62,1.0,76.9614431548437,auto
TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER,12125843,77,1.0,85.4,auto
aiko,6TDMbiQCWeMClsMr9ORLRK,aiko,1119233,62,1.0,78.32394502836436,auto
Creepy Nuts,0pWR7TsFhvSCnbmHDjWgrE,Creepy Nuts,2174601,71,1.0,81.36019821460626,auto
GLAY,00AFbqxvdDK6T1D6MQZ9c1,GLAY,693889,57,1.0,76.43410001205817,auto
Number_i,4XFkDALFTsSHVnRtJSsaMN,Number_i,339455,67,1.0,77.10335232854997,auto
THE ALFEE,04bitarCLkcC3GVESLDZgY,THE ALFEE,138662,48,1.0,71.63696054277767,auto
