artist,artist_normalized,year,weeks_on_chart,total_streams,best_rank,avg_rank,top10_weeks,top1_weeks,has_spotify_data,past_appearances,prev_year_appeared,consecutive_years,appeared
Aimyon,Aimyon,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Aimyon,Aimyon,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Aimyon,Aimyon,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Aimyon,Aimyon,2020,370.0,171462109.0,3.0,55.08918918918919,37.0,0.0,1,0,0,0,1
Aimyon,Aimyon,2021,315.0,145433464.0,7.0,86.95873015873016,4.0,0.0,1,1,1,1,1
Aimyon,Aimyon,2022,328.0,108210366.0,11.0,120.26829268292684,0.0,0.0,1,2,1,2,1
Aimyon,Aimyon,2023,315.0,131516165.0,11.0,118.65714285714286,0.0,0.0,1,3,1,3,1
Aimyon,Aimyon,2024,312.0,139248458.0,20.0,126.97435897435898,0.0,0.0,1,4,1,4,1
Anne-Marie,Anne-Marie,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Anne-Marie,Anne-Marie,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Anne-Marie,Anne-Marie,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Anne-Marie,Anne-Marie,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Anne-Marie,Anne-Marie,2020,42.0,5965183.0,104.0,149.33333333333334,0.0,0.0,1,0,0,0,0
Anne-Marie,Anne-Marie,2021,14.0,2381719.0,179.0,188.92857142857144,0.0,0.0,1,0,0,0,0
Anne-Marie,Anne-Marie,2022,14.0,3012760.0,152.0,175.78571428571428,0.0,0.0,1,0,0,0,0
Anne-Marie,Anne-Marie,2023,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Anne-Marie,Anne-Marie,2024,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ariana Grande,Ariana Grande,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ariana Grande,Ariana Grande,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ariana Grande,Ariana Grande,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ariana Grande,Ariana Grande,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ariana Grande,Ariana Grande,2020,5.0,1676720.0,54.0,78.8,0.0,0.0,1,0,0,0,0
Ariana Grande,Ariana Grande,2021,4.0,1307844.0,68.0,94.5,0.0,0.0,1,0,0,0,0
Ariana Grande,Ariana Grande,2022,4.0,1829279.0,52.0,77.75,0.0,0.0,1,0,0,0,0
Ariana Grande,Ariana Grande,2023,5.0,3372176.0,22.0,72.6,0.0,0.0,1,0,0,0,0
Ariana Grande,Ariana Grande,2024,5.0,3894473.0,17.0,58.4,0.0,0.0,1,0,0,0,0
Awesome City Club,Awesome City Club,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Awesome City Club,Awesome City Club,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Awesome City Club,Awesome City Club,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Awesome City Club,Awesome City Club,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Awesome City Club,Awesome City Club,2020,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Awesome City Club,Awesome City Club,2021,48.0,62169991.0,4.0,11.625,21.0,0.0,1,0,0,0,1
Awesome City Club,Awesome City Club,2022,52.0,38662461.0,8.0,51.94230769230769,4.0,0.0,1,1,1,1,0
Awesome City Club,Awesome City Club,2023,7.0,1929970.0,143.0,169.42857142857142,0.0,0.0,1,1,0,0,0
Awesome City Club,Awesome City Club,2024,1.0,311886.0,185.0,185.0,0.0,0.0,1,1,0,0,0
Ayase,Ayase,2016,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ayase,Ayase,2017,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ayase,Ayase,2018,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ayase,Ayase,2019,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ayase,Ayase,2020,0.0,0.0,999.0,999.0,0.0,0.0,0,0,0,0,0
Ayase,Ayase,2021,16.0,8006303.0,51.0,55.125,0.0,0.0,1,0,0,0,0
