artist,year,weeks_on_chart,total_streams,best_rank,avg_rank,top10_weeks,top1_weeks
MUKADE,2023,45,40433775,4,51.44444444444444,11,0
MUKADE,2024,39,13197713,126,179.30769230769232,0,0
MY FIRST STORY,2023,40,40501252,6,36.2,10,0
MY FIRST STORY,2024,77,55388824,12,67.8051948051948,0,0
MY FIRST STORY,2025,38,14096331,120,169.92105263157896,0,0
Macaroni Empitsu,2020,65,14689078,48,114.33846153846154,0,0
Macaroni Empitsu,2021,112,53565969,3,72.52678571428571,6,0
Macaroni Empitsu,2022,156,103673055,1,56.6474358974359,30,3
Macaroni Empitsu,2023,206,127262727,11,79.2621359223301,0,0
Macaroni Empitsu,2024,186,88188879,32,116.59677419354838,0,0
Macaroni Empitsu,2025,143,82824671,35,94.34265734265735,0,0
Marcy,2023,13,13011739,12,37.61538461538461,0,0
Marcy,2024,52,26600466,33,105.23076923076923,0,0
Marcy,2025,26,10119918,101,154.65384615384616,0,0
Mariah Carey,2020,7,2606963,39,86.57142857142857,0,0
Mariah Carey,2021,6,3133440,29,75.5,0,0
Mariah Carey,2022,6,4602804,10,53.833333333333336,1,0
Mariah Carey,2023,7,5067115,7,78.14285714285714,1,0
Mariah Carey,2024,6,5178191,7,61.666666666666664,1,0
Mariah Carey,2025,2,803323,145,146.0,0,0
Masanori Otoda,2023,24,21434297,13,36.625,0,0
Masanori Otoda,2024,36,17315420,54,102.05555555555556,0,0
Mega Shinnosuke,2024,18,11767940,38,77.11111111111111,0,0
Mega Shinnosuke,2025,9,3553929,106,142.66666666666666,0,0
Motohiro Hata,2020,83,16919610,41,110.43373493975903,0,0
Motohiro Hata,2021,28,5072541,152,180.64285714285714,0,0
Motohiro Hata,2022,4,778908,178,186.75,0,0
Mr.Children,2020,53,19245860,18,53.471698113207545,0,0
Mr.Children,2021,52,11689532,96,132.76923076923077,0,0
Mr.Children,2022,47,10618980,97,163.14893617021278,0,0
Mr.Children,2023,9,2437999,169,183.77777777777777,0,0
Mr.Children,2024,7,2405810,166,184.42857142857142,0,0
Mr.Children,2025,30,12537263,96,142.86666666666667,0,0
Mrs. GREEN APPLE,2020,420,168773859,16,66.53571428571429,0,0
Mrs. GREEN APPLE,2021,261,103543818,25,91.87739463601532,0,0
Mrs. GREEN APPLE,2022,360,166132522,2,102.50555555555556,25,0
Mrs. GREEN APPLE,2023,714,497056769,4,71.55042016806723,82,0
Mrs. GREEN APPLE,2024,980,1001278119,1,52.611224489795916,167,19
Mrs. GREEN APPLE,2025,1194,1215347014,1,59.01005025125628,242,20
