artist,year,weeks_on_chart,total_streams,best_rank,avg_rank,top10_weeks,top1_weeks
Sukima Switch,2020,53,15709370,33,73.15094339622641,0,0
Sukima Switch,2021,36,7132341,131,154.52777777777777,0,0
Sukima Switch,2022,29,6570541,134,156.20689655172413,0,0
Sukima Switch,2023,15,5024549,117,156.33333333333334,0,0
Sukima Switch,2024,23,9185916,76,137.17391304347825,0,0
Sukima Switch,2025,48,37214874,31,51.4375,0,0
Takaya Kawasaki,2020,15,7320861,26,55.0,0,0
Takaya Kawasaki,2021,52,47835704,13,23.53846153846154,0,0
Takaya Kawasaki,2022,52,38489605,18,41.78846153846154,0,0
Takaya Kawasaki,2023,45,13864878,76,161.48888888888888,0,0
Takaya Kawasaki,2024,22,7932001,80,166.36363636363637,0,0
Takaya Kawasaki,2025,32,12029988,97,168.84375,0,0
Tani Yuuki,2021,1,215324,173,173.0,0,0
Tani Yuuki,2022,52,76251619,1,10.557692307692308,45,14
Tani Yuuki,2023,52,61206236,3,17.28846153846154,21,0
Tani Yuuki,2024,52,42370316,30,48.28846153846154,0,0
Tani Yuuki,2025,48,25565191,61,84.27083333333333,0,0
Tatsuya Kitani,2023,25,42125460,3,6.96,21,0
Tatsuya Kitani,2024,52,38437610,10,62.34615384615385,1,0
Tatsuya Kitani,2025,18,6519577,105,175.05555555555554,0,0
The Kid LAROI,2021,25,26233249,7,19.28,15,0
The Kid LAROI,2022,52,37589845,19,43.96153846153846,0,0
The Kid LAROI,2023,51,17667690,84,132.3921568627451,0,0
The Kid LAROI,2024,10,3239075,149,169.4,0,0
Vaundy,2020,37,18236241,20,96.8108108108108,0,0
Vaundy,2021,188,120555340,10,48.51063829787234,1,0
Vaundy,2022,260,123583344,12,64.62307692307692,0,0
Vaundy,2023,255,189801162,1,63.60392156862745,52,1
Vaundy,2024,311,239998603,3,70.016077170418,25,0
Vaundy,2025,277,174617106,12,93.31768953068593,0,0
YOASOBI,2020,94,103421410,1,20.69148936170213,37,20
YOASOBI,2021,207,261883707,2,13.352657004830919,116,0
YOASOBI,2022,192,142021310,8,47.744791666666664,5,0
YOASOBI,2023,261,260305531,1,51.6551724137931,37,21
YOASOBI,2024,248,164460078,1,96.1008064516129,17,3
YOASOBI,2025,130,55629946,43,142.90769230769232,0,0
Yorushika,2020,53,34445266,12,22.11320754716981,0,0
Yorushika,2021,52,24677555,36,75.3076923076923,0,0
Yorushika,2022,40,8625975,139,170.0,0,0
Yorushika,2023,48,38320502,16,49.854166666666664,0,0
Yorushika,2024,52,62963640,6,26.25,11,0
Yorushika,2025,48,33893245,29,65.375,0,0
Yuuri,2020,9,11257217,3,25.444444444444443,6,0
Yuuri,2021,85,131659155,1,7.352941176470588,60,25
Yuuri,2022,156,176095691,1,14.916666666666666,64,2
Yuuri,2023,205,182167599,5,37.551219512195125,7,0
Yuuri,2024,208,128159720,20,76.625,0,0
Yuuri,2025,153,77110367,54,99.26143790849673,0,0
[Alexandros],2020,53,16479417,24,62.77358490566038,0,0
[Alexandros],2021,52,13808129,68,104.21153846153847,0,0
[Alexandros],2022,42,11292768,75,123.66666666666667,0,0
[Alexandros],2023,37,11209891,134,169.0810810810811,0,0
[Alexandros],2024,13,4734029,130,164.3846153846154,0,0
[Alexandros],2025,48,25670462,54,88.8125,0,0
back number,2020,224,69947779,11,70.35714285714286,0,0
back number,2021,280,111436818,1,104.25,19,3
back number,2022,282,136252429,6,99.13120567375887,27,0
back number,2023,368,216391027,2,80.55163043478261,3,0
back number,2024,386,297930207,4,63.82124352331606,5,0
back number,2025,340,282996103,7,62.15882352941176,3,0
natori,2022,16,27612113,2,10.1875,14,0
natori,2023,52,58788454,4,19.78846153846154,11,0
natori,2024,52,22907592,44,123.67307692307692,0,0
natori,2025,4,1356403,156,174.0,0,0
tuki.,2023,13,14182830,11,27.23076923076923,0,0
tuki.,2024,52,82869571,2,14.942307692307692,20,0
tuki.,2025,48,44683453,13,43.145833333333336,0,0
yama,2020,34,28761674,6,20.794117647058822,9,0
yama,2021,52,43849236,12,32.17307692307692,0,0
yama,2022,49,13133391,69,128.16326530612244,0,0
yama,2023,15,4262510,142,175.2,0,0
